Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
DCA,LAX,"Washington, DC","Los Angeles, CA",2583,4091,26,2311,2007-02-01,10626066,25385206,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3760,4710,30,2311,2008-11-01,10755872,25536790,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",4185,4867,31,2311,2008-10-01,10755872,25536790,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3038,4568,29,2311,2008-02-01,10755872,25536790,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3943,4867,31,2311,2008-08-01,10755872,25536790,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",4219,4870,31,2311,2008-05-01,10755872,25536790,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",4044,4719,30,2311,2008-04-01,10755872,25536790,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3279,4722,30,2311,2008-01-01,10755872,25536790,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",107,124,1,2311,2008-01-01,10755872,25536790,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",4063,4710,30,2311,2008-06-01,10755872,25536790,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3529,4710,30,2311,2008-09-01,10755872,25536790,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",4086,4867,31,2311,2008-07-01,10755872,25536790,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",4036,4879,31,2311,2008-03-01,10755872,25536790,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",4275,4867,31,2311,2008-12-01,10755872,25536790,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",4001,4710,30,2311,2009-10-01,10952482,25749594,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3609,4710,30,2311,2009-09-01,10952482,25749594,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3160,4399,28,2311,2009-02-01,10952482,25749594,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3773,4710,30,2311,2009-12-01,10952482,25749594,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3127,4713,30,2311,2009-01-01,10952482,25749594,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",87,124,1,2311,2009-01-01,10952482,25749594,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",4378,4867,31,2311,2009-07-01,10952482,25749594,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",4373,4867,31,2311,2009-05-01,10952482,25749594,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",4162,4710,30,2311,2009-04-01,10952482,25749594,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3832,4873,31,2311,2009-03-01,10952482,25749594,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3634,4710,30,2311,2009-11-01,10952482,25749594,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",116,124,1,2311,2009-10-01,10952482,25749594,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",4127,4710,30,2311,2009-06-01,10952482,25749594,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",4097,4867,31,2311,2009-08-01,10952482,25749594,38.8521,-77.037697,33.94250107,-118.4079971
